Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field ((backup) Browser/s),Custom field ((backup) Exists in the current implementation?),Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((backup, del) Test tasks)","Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Build/s),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (Development),Custom field (End Date),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Error Type),Custom field (Expected Result),Custom field (Flagged),Custom field (Found by),Custom field (Functionality Changes?),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Request Info From),Custom field (Revised),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Share with),Custom field (Solution),Sprint,Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (Test Type),Custom field (TestLink case),Custom field (Time Category),Custom field (To Attention Of),Custom field (Type of engagement),Custom field (URL),Custom field (Users),Custom field (Version To Fix),Custom field (WSJF),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment
Travel Gallery: Photo zooms in when the expand option is clicked,QATC-978690,3964014,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 12:15 PM,02/Mar/26 12:15 PM,09/Mar/26 9:49 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""CONNECT""
 # Select ""TRAVEL"" 
 # Click a photo with expand option

 

*Actual Result:* Photo zooms in when the expand option is clicked. Please see [^Bug_50.mp4]

*Expected Result:* Photo should not zoom in when the expand option is clicked because of natural size in multiple photos according to the requirements. Please see [^50.png]


*Additional Information:* This issue is reproduced in all gallery's expand option.","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 12:13 PM;m.mahmud;50.png;https://jira.a1qa.com/secure/attachment/2757859/50.png","02/Mar/26 12:08 PM;m.mahmud;Bug_50.mp4;https://jira.a1qa.com/secure/attachment/2757860/Bug_50.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|ifptfk:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Book Session: Session Information: ""Standard Session"" image is displayed instead of ""Mini Outdoor Session"" image ",QATC-978681,3964004,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 11:57 AM,02/Mar/26 11:57 AM,04/Mar/26 1:57 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com|https://photostudio.demohoster.com/]/
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Observe the image

 

*Actual Result:* ""Standard Session"" image is displayed instead of ""Mini Outdoor Session"" image . Please see [^Bug_49.mp4]

*Expected Result:* ""Mini Outdoor Session"" image should be displayed in ""Session Information"" as it was visible in ""Booking Session"". 


*Additional Information:* This same issue is reproduced in ""Standard Session"".","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 11:57 AM;m.mahmud;Bug_49.mp4;https://jira.a1qa.com/secure/attachment/2757850/Bug_49.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifptdc:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Portrait Gallery: No minimize option appears when photo is expanded,QATC-978670,3963992,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 11:37 AM,02/Mar/26 11:37 AM,04/Mar/26 1:58 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""WORK""
 # Select ""PORTRAIT"" 
 # Click any preview photo with expand option

 

*Actual Result:* No minimize option appears when photo is expanded. Please see [^Bug_48.mp4]

*Expected Result:* All photos should have expand and minimize option according to the requirements. 


*Additional Information:* This issue is reproduced in all gallery's pages.","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 11:36 AM;m.mahmud;Bug_48.mp4;https://jira.a1qa.com/secure/attachment/2757839/Bug_48.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifptao:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Portrait Gallery: Expand option is limited to 4 photos when on page 1,QATC-978668,3963990,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 11:32 AM,02/Mar/26 11:32 AM,04/Mar/26 1:58 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""WORK""
 # Select ""PORTRAIT"" 
 # Click all the preview photos in page 1

 

*Actual Result:* Expand option is limited to 4 photos when on page 1. Please see [^Bug_47.mp4]

*Expected Result:* All photos should have expand option according to the requirements. 


*Additional Information:* This issue is reproduced in all gallery's pages.","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 11:31 AM;m.mahmud;Bug_47.mp4;https://jira.a1qa.com/secure/attachment/2757837/Bug_47.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpta8:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Book Information: Contact Information: “Phone” field accepts input when characters are entered,QATC-978664,3963986,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 11:17 AM,02/Mar/26 11:17 AM,04/Mar/26 1:41 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Input phone containing characters

 

*Actual Result:* “Phone” field accepts input when characters are entered. Please see [^Bug_46.mp4]

*Expected Result:* “Phone” field should only accept numeric type according to the requirements. Please see [^46.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 11:17 AM;m.mahmud;46.png;https://jira.a1qa.com/secure/attachment/2757832/46.png","02/Mar/26 11:17 AM;m.mahmud;Bug_46.mp4;https://jira.a1qa.com/secure/attachment/2757833/Bug_46.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpt9c:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Mini Studio Session: “Parents count as one additional subject” appears unrendered when booking a session,QATC-978658,3963979,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,FAD,,m.mahmud,m.mahmud,02/Mar/26 11:06 AM,04/Mar/26 3:57 AM,04/Mar/26 1:41 PM,04/Mar/26 3:57 AM,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of Mini Studio Session

 

*Actual Result:* “Parents count as one additional subject” appears unrendered when booking a session. Please see [^Bug_45.png]

*Expected Result:* “Parents count as one additional subject” should be included according to the requirements. Please see [^45.png]


*Additional Information:* This issue is reproduced in all ""Book Sessions"".","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 11:06 AM;m.mahmud;45.png;https://jira.a1qa.com/secure/attachment/2757824/45.png","02/Mar/26 11:04 AM;m.mahmud;Bug_45.png;https://jira.a1qa.com/secure/attachment/2757825/Bug_45.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpt7s:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Mini Studio Session: Session Information: Additional Subjects displays ""0"" when ""none"" is selected from dropdown ",QATC-978654,3963975,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,FAD,,m.mahmud,m.mahmud,02/Mar/26 10:53 AM,04/Mar/26 3:54 AM,04/Mar/26 1:41 PM,04/Mar/26 3:54 AM,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Select ""none"" from Additional subjects dropdown
 # Click ""Book"" button
 # Observe the Additional subjects

 

*Actual Result:* Additional Subjects displays ""0"" when ""none"" is selected from dropdown. Please see [^Bug_44.mp4]

*Expected Result:* Additional Subjects should display ""none"" as there is no ""0"" in the dropdown according to the requirements. Please see [^44.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 10:53 AM;m.mahmud;44.png;https://jira.a1qa.com/secure/attachment/2757818/44.png","02/Mar/26 10:51 AM;m.mahmud;Bug_44.mp4;https://jira.a1qa.com/secure/attachment/2757819/Bug_44.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpt6w:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Connect: Contact: No footer with studio information is displayed when accessing the page,QATC-978651,3963972,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 10:44 AM,02/Mar/26 10:44 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: https://photostudio.demohoster.com/
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""CONNECT""
 # Select ""CONTACT"" 
 # Click ""Book"" button
 # Leave the ""Email"" field empty

 

*Actual Result:* No footer with studio information is displayed when accessing the page. Please see [^Bug_43.png]

*Expected Result:* Footer with studio information should be displayed when accessing the page according to the requirements. Please see [^43.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 10:43 AM;m.mahmud;43.png;https://jira.a1qa.com/secure/attachment/2757814/43.png","02/Mar/26 10:42 AM;m.mahmud;Bug_43.png;https://jira.a1qa.com/secure/attachment/2757815/Bug_43.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpt68:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Booking Information: Contact Information: ""404 - Page not found"" displays when ""Continue to payment method"" button is clicked",QATC-978637,3963958,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 10:13 AM,02/Mar/26 10:13 AM,04/Mar/26 1:32 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Fill up all the necessary fields
 # Click ""Continue to payment method"" button

 

*Actual Result:* ""404 - Page not found"" displays when ""Continue to payment method"" button is clicked. Please see [^Bug_42.mp4]

*Expected Result:* ""Continue to payment method"" button should lead to payment page according to the requirements. Please see [^42.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 10:12 AM;m.mahmud;42.png;https://jira.a1qa.com/secure/attachment/2757799/42.png","02/Mar/26 10:11 AM;m.mahmud;Bug_42.mp4;https://jira.a1qa.com/secure/attachment/2757800/Bug_42.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpt34:",9223372036854775807,,,,,,,,,1-Critical,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Book Information: Contact Information: Unfilled ""Company"" displays ""Please fill out this field."" when ""Continue to payment method"" button is clicked",QATC-978633,3963954,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 10:02 AM,02/Mar/26 10:02 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Leave the ""Company"" field unfilled
 # Click ""Continue to payment method"" button

 

*Actual Result:* Unfilled ""Company"" displays ""Please fill out this field."" when ""Continue to payment method"" button is clicked. Please see [^Bug_41.png]

*Expected Result:* Unfilled ""Company"" field should not display ""Please fill out this field."" because it is optional according to the requirements. Please see [^41.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 10:01 AM;m.mahmud;41.png;https://jira.a1qa.com/secure/attachment/2757794/41.png","02/Mar/26 10:01 AM;m.mahmud;Bug_41.png;https://jira.a1qa.com/secure/attachment/2757795/Bug_41.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpt28:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
